Rank,Player,2022/23,2022/23(*)
115.,Josh Hart,"$12,960,000","$13,741,332"
116.,Dorian Finney-Smith,"$12,939,848","$13,719,965"
117.,Kelly Olynyk,"$12,804,878","$13,576,858"
118.,Chris Boucher,"$12,690,000","$13,455,054"
119.,Kelly Oubre,"$12,600,000","$13,359,628"
120.,Marvin Bagley,"$12,500,000","$13,253,600"
121.,Robert Covington,"$12,307,692","$13,049,698"
122.,Josh Richardson,"$12,196,094","$12,931,372"
123.,Ja Morant,"$12,119,440","$12,850,096"
124.,Danny Green,"$11,710,528","$12,416,532"
125.,Devonte Graham,"$11,550,000","$12,246,326"
126.,Terrence Ross,"$11,500,000","$12,193,311"
127.,Reggie Jackson,"$11,457,217","$12,147,949"
128.,Dillon Brooks,"$11,400,000","$12,087,283"
129.,Richaun Holmes,"$11,215,260","$11,891,405"
130.,Dwight Powell,"$11,080,125","$11,748,123"
131.,Paolo Banchero,"$11,055,120","$11,721,611"
132.,RJ Barrett,"$10,900,634","$11,557,811"
133.,Bobby Portis,"$10,843,350","$11,497,073"
134.,DeAndre Jordan,"$10,733,758","$11,380,873"
135.,Anthony Edwards,"$10,733,400","$11,380,495"
136.,Robert Williams,"$10,714,287","$11,360,230"
137.,Cade Cunningham,"$10,552,800","$11,189,007"
138.,PJ Tucker,"$10,490,000","$11,122,421"
139.,Derrick Favors,"$10,350,803","$10,974,832"
140.,Mo Bamba,"$10,300,000","$10,920,966"
141.,Talen Horton-Tucker,"$10,260,000","$10,878,554"
142.,Jae Crowder,"$10,183,800","$10,797,761"
143.,Ivica Zubac,"$10,123,457","$10,733,780"
144.,Reggie Bullock,"$10,012,800","$10,616,451"
144.,Alec Burks,"$10,012,800","$10,616,451"
146.,Chet Holmgren,"$9,891,240","$10,487,563"
147.,De'Andre Hunter,"$9,835,881","$10,428,866"
148.,Larry Nance Jr,"$9,672,727","$10,255,876"
149.,James Wiseman,"$9,603,360","$10,182,327"
150.,Landry Shamet,"$9,500,000","$10,072,736"
151.,Malik Monk,"$9,472,219","$10,043,280"
152.,Jalen Green,"$9,441,840","$10,011,069"
153.,Jakob Poeltl,"$9,398,148","$9,964,743"
154.,Nerlens Noel,"$9,391,069","$9,957,237"
155.,Nicolas Claxton,"$9,350,000","$9,913,692"
