Rank,Player,2022/23,2022/23(*)
488.,Keon Ellis,"$508,891","$539,571"
488.,Neemias Queta,"$508,891","$539,571"
488.,Julian Champagnie,"$508,891","$539,571"
488.,Dominick Barlow,"$508,891","$539,571"
488.,Jeff Dowtin,"$508,891","$539,571"
488.,Ron Harper Jr,"$508,891","$539,571"
488.,Micah Potter,"$508,891","$539,571"
488.,Johnny Juzang,"$508,891","$539,571"
518.,John Butler,"$503,041","$533,368"
519.,Chima Moneke,"$500,000","$530,144"
520.,Facundo Campazzo,"$464,299","$492,290"
521.,Orlando Robinson,"$386,055","$409,328"
522.,Dru Smith,"$374,357","$396,925"
523.,AJ Lawson,"$371,432","$393,824"
524.,Jared Rhoden,"$307,089","$325,602"
524.,Louis King,"$307,089","$325,602"
526.,Robert Woodard,"$300,000","$318,086"
527.,Didi Louzada,"$268,032","$284,191"
528.,Jarrett Culver,"$260,295","$275,987"
529.,Olivier Sarr,"$257,371","$272,887"
530.,Alondes Williams,"$254,446","$269,786"
531.,DJ Wilson,"$250,000","$265,072"
532.,Donovan Williams,"$239,822","$254,280"
533.,Quenton Jackson,"$219,630","$232,870"
534.,Chris Silva,"$211,045","$223,768"
535.,Tyler Dorsey,"$201,802","$213,968"
535.,Braxton Key,"$201,802","$213,968"
537.,Jordan Hall,"$193,027","$204,663"
538.,Alize Johnson,"$192,293","$203,885"
539.,Kostas Antetokounmpo,"$172,555","$182,957"
540.,Devon Dotson,"$169,630","$179,856"
541.,Mac McClung,"$160,856","$170,553"
542.,Willie Cauley-Stein,"$155,738","$165,127"
543.,Nate Darling,"$152,082","$161,250"
544.,Keaton Wallace,"$140,384","$148,847"
544.,Xavier Cooks,"$140,384","$148,847"
546.,Shaquille Harrison,"$134,862","$142,992"
547.,Feron Hunt,"$131,610","$139,544"
548.,Lester Quinones,"$129,405","$137,206"
549.,Troy Williams,"$122,741","$130,140"
550.,Xavier Moon,"$116,986","$124,038"
550.,Jamaree Bouyea,"$116,986","$124,038"
550.,Jay Huff,"$116,986","$124,038"
553.,Skylar Mays,"$116,574","$123,602"
554.,Frank Jackson,"$113,114","$119,933"
555.,Michael Foster,"$106,288","$112,695"
556.,Deonte Burton,"$105,522","$111,883"
556.,Jarrell Brantley,"$105,522","$111,883"
558.,Xavier Sneed,"$102,910","$109,114"
559.,Justin Lewis,"$102,363","$108,534"
560.,Lindell Wigginton,"$99,438","$105,432"
561.,Jordan Schakel,"$96,514","$102,332"
562.,Demetrius Jackson,"$92,857","$98,455"
563.,Stanley Umude,"$58,493","$62,019"
564.,Jeenathan Williams,"$52,644","$55,817"
565.,DJ Steward,"$50,000","$53,014"
565.,Armoni Brooks,"$50,000","$53,014"
567.,Jay Scrubb,"$49,719","$52,716"
568.,Justin Minaya,"$35,096","$37,211"
569.,Kobi Simmons,"$32,795","$34,772"
570.,Gabe York,"$32,171","$34,110"
571.,Ibou Badji,"$18,226","$19,324"
572.,Tristan Thompson,"$16,700","$17,706"
573.,RaiQuan Gray,"$5,849","$6,201"
573.,Jacob Gilyard,"$5,849","$6,201"
